business_day,trips_count,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holiday,school_holiday,season_winter,season_spring,season_summer,season_autumn,zerotosix,sixtotwelve,twelvetoeighteen,eighteentozero,rain,fog,snow,cloudy,partly_cloudy,clear,avg_temp,avg_windspeed,avg_humidity,avg_visibility,num_row
2014-02-03,696,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.28,11.97,90.92,0.32,79
2014-02-03,1072,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.0,9.63,82.31,7.5,80
2014-02-04,102,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.34,6.26,73.18,7.9,81
2014-02-04,2439,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-3.46,4.72,70.73,6.78,82
2014-02-04,2960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.13,6.87,70.43,13.53,83
2014-02-04,3208,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.44,4.46,63.06,11.28,84
2014-02-05,106,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.1,15.9,86.75,1.82,85
2014-02-05,465,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.44,20.28,89.3,5.06,86
2014-02-05,983,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6,9.6,88.23,8.07,87
2014-02-05,1192,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.43,8.67,83.99,9.73,88
2014-02-06,129,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.84,16.42,75.36,15.7,89
2014-02-06,2111,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-4.73,18.27,71.29,16.0,90
2014-02-06,2153,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-2.7,6.17,59.77,16.0,91
2014-02-06,2803,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-2.83,7.1,58.33,16.0,92
2014-02-07,201,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-3.18,14.58,57.25,16.0,93
2014-02-07,2114,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.3,16.07,49.0,16.0,94
2014-02-07,2796,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-3.65,13.7,54.78,15.75,95
2014-02-07,3384,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.7,12.3,43.8,16.0,96
2014-02-08,280,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.4,13.98,40.66,16.0,97
2014-02-08,1235,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-2.83,12.37,45.07,16.0,98
2014-02-08,1463,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-5.5,10.33,36.9,16.0,99
2014-02-08,3008,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-2.25,4.85,35.39,16.0,100
2014-02-09,270,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.5,8.22,41.72,16.0,101
2014-02-09,576,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-3.13,6.35,81.66,2.13,102
2014-02-09,1216,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-5.14,9.04,49.94,16.0,103
2014-02-09,2934,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.9,10.1,47.99,16.0,104
2014-02-10,93,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.87,15.37,70.46,12.8,105
2014-02-10,2026,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-5.5,16.67,56.68,15.02,106
2014-02-10,2207,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-3.83,13.02,44.38,16.0,107
2014-02-10,2520,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2.48,17.13,41.17,16.0,108
2014-02-11,132,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-6.53,12.02,52.79,16.0,109
2014-02-11,2360,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-5.82,18.87,44.04,16.0,110
2014-02-11,2819,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-7.57,16.67,50.1,16.0,111
2014-02-11,3032,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-4.17,12.5,38.86,16.0,112
2014-02-12,140,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-8.75,10.38,52.64,16.0,113
2014-02-12,2514,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-4.4,9.33,61.52,16.0,114
2014-02-12,2865,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-10.17,12.93,54.29,16.0,115
2014-02-12,3061,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-5.15,10.82,44.04,16.0,116
2014-02-13,78,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-3.18,14.12,84.92,1.92,117
2014-02-13,131,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.02,31.67,87.68,0.72,118
2014-02-13,301,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.77,27.9,86.28,4.32,119
2014-02-13,366,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.27,20.02,85.87,9.63,120
2014-02-14,32,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.4,18.55,86.43,5.13,121
2014-02-14,773,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.37,21.13,63.31,14.77,122
2014-02-14,1044,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3.43,13.8,51.23,16.0,123
2014-02-14,1760,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.1,25.1,51.17,14.5,124
2014-02-15,154,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.77,5.08,58.39,15.3,125
2014-02-15,309,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.47,20.5,87.09,2.43,126
2014-02-15,800,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.57,14.43,65.49,11.5,127
2014-02-15,998,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.8,25.7,69.3,4.87,128
2014-02-16,99,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.57,22.37,53.94,16.0,129
2014-02-16,603,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-5.42,16.32,54.04,16.0,130
2014-02-16,745,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-3.27,18.33,51.7,16.0,131
2014-02-16,1556,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.93,16.67,41.13,16.0,132
2014-02-17,124,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-6.74,19.6,55.96,16.0,133
2014-02-17,1162,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-6.63,14.13,42.23,16.0,134
2014-02-17,1347,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1.33,4.67,30.39,16.0,135
